reference	Nr	PlantNaam	Licht	Vochtigheid	Plantdichtheid	Habitat	Kleur	Hooghte	bladhooghte	bloei	
1622881220-9014	2995	Hosta 'Jurassic Park' (sieboldiana)	half schaduw  schaduw             	fris                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)          extra informatie               snijbloem	lila    	160 cm  	   125 cm  	   125 cm  	  7- 8
1622880155-6878	2996	Stipa gigantea - BRILLEN !	zon              	droog                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)	Droge bodem met grind (GR1)     Steppe (kalk) met droge bodem (SH1)     Stenige, droge bodem (ST1)          extra informatie               bladhoudend  snijbloem	geel    	200 cm  	    70 cm  	    70 cm  	  6- 8
1622883124-12815	2997	Verbena rigida 'Polaris'	zon              	droog             afdekken    	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Open plaatsen met droge bodem (OP1)          extra informatie               vlinderplant nectar	lila    	 30 cm  	    20 cm  	    20 cm  	  7-10
1622879616-5666	2998	Eremurus isabellinus (x) 'Cleopatra'	zon              	droog fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	oranje    	140 cm  	    30 cm  	    30 cm  	  6- 7
1622884210-15308	2999	Leucojum aestivum 'Gravetye Giant'	zon   half schaduw             	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2)          extra informatie               Aromatisch	wit    	 50 cm  	    30 cm  	    30 cm  	  4- 5
1622882625-11776	3000	Verbena bonariensis	zon              	droog fris             afdekken    	aantal  : 5 tot 7 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie       Sterk uitzaaiend         snijbloem  vlinderplant nectar  bijenplant	violet    	150 cm  	    80 cm  	    80 cm  	  7- 9
1622884936-16972	3001	Schizachyrium scoparium JS® 'Red Frost'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem                                                                                              JS	rood    	120 cm  	    50 cm  	    50 cm  	 10-11
1622880908-8483	3002	Allium 'Gladiator'	zon              	droog fris                	DRIFT	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	violet    	120 cm  	    30 cm  	    30 cm  	  6- 7
1622884596-16243	3003	Erodium variabile (x) 'Bishop's Form'	zon              	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Rotstuin met frisse bodem (A2)     Muurbeplanting met frisse bodem (M2)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend  bodembedekker  Aromatisch	roze    	 10 cm  	     5 cm  	     5 cm  	  5- 9
1622884377-15771	3004	Bergenia 'Jelle'	half schaduw             	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2B)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend  bodembedekker  snijbloem  bijenplant    macho	wit    	 30 cm  	    20 cm  	    20 cm  	  4- 5
1622884623-16311	3005	Carex flacca 'Buis'	half schaduw  schaduw             	droog fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met vochtige bodem (OP3)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               bladhoudend  bodembedekker  macho	bruin    	 60 cm  	    30 cm  	    30 cm  	  4- 5
1622883042-12585	3006	Salvia verticillata 'Endless Love'	zon              	droog             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)          extra informatie       Uitzaaiend         Aromatisch   vlinderplant nectar	violet    	 60 cm  	    30 cm  	    30 cm  	  6- 9
1622884494-16003	3007	Heuchera americana 'Dale'	zon   half schaduw             	fris                	aantal  : 7 tot 10 per m2	Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2B)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend  snijbloem                                                                                              New	roze    	 50 cm  	    35 cm  	    35 cm  	  4-10
1622880104-6704	3008	Coreopsis grandiflora 'Christchurch'	zon              	fris                	aantal  : 6 tot 9 per m2	Gemengde boord met frisse bodem (GB2)          extra informatie               snijbloem  bijenplant	geel    	 50 cm  	    30 cm  	    30 cm  	  6-10
1622881797-10277	3009	Strobilanthes rankanensis	zon   half schaduw             	droog fris             afdekken    	aantal  : 2 tot 4 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               vlinderplant nectar  bijenplant	violet    	140 cm  	   100 cm  	   100 cm  	  6-10
1622882738-11939	3010	Salvia officinalis 'Berggarten' (BREEDBL. SALIE)	zon              	droog                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Open plaatsen met droge bodem (OP1B)     Stenige, droge bodem (ST1)          extra informatie               bladhoudend  Aromatisch   vlinderplant nectar  bijenplant	blauw    	 80 cm  	    50 cm  	    50 cm  	  7- 8
1622879793-6043	3011	Iris 'Blushes' (Germanica-Group)	zon              	droog fris                	aantal  : 7 tot 10 per m2	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem	blauw    	100 cm  	    50 cm  	    50 cm  	  5- 6
1622883659-14045	3012	Hypericum perforatum	zon              	droog fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	geel    	 60 cm  	    40 cm  	    40 cm  	  6- 8
1622881183-8938	3013	Alopecurus pratensis 'Aureovariegatus'	zon              	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie       Woekerend         vlinderplant nectar  waardplant vlinders	geel    	 60 cm  	    30 cm  	    30 cm  	  5- 6
1622880780-8160	3014	Papaver orientale 'Raspberry Queen'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bijenplant	roze    	 80 cm  	    30 cm  	    30 cm  	  5- 6
1622883997-14788	3015	Pennisetum macrourum	zon              	droog fris             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - werkelijk zeer grote vlakken (E)	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bodembedekker  snijbloem                                                                                              New	bruin    	120 cm  	    80 cm  	    80 cm  	  8-10
1622881907-10469	3016	Echinacea purpurea JS® 'White Prairie'	zon              	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant                                                                                                JS	wit    	100 cm  	    40 cm  	    40 cm  	  7- 9
1622883606-13946	3017	Veronicastrum virginicum 'Erika'	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem  vlinderplant nectar	roze    	120 cm  	    80 cm  	    80 cm  	  7- 8
1622883051-12611	3018	Phlox p. 'Green Lion' PBR	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)          extra informatie               Aromatisch   snijbloem	groen    	 35 cm  	    20 cm  	    20 cm  	  6- 9
1622883340-13368	3019	Arum maculatum	half schaduw  schaduw             	fris vochtig                	aantal  : 7 tot 10 per m2	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)          extra informatie       Licht uitzaaiend	groen    	 40 cm  	    30 cm  	    30 cm  	  7- 8
1622881568-9758	3020	Narcissus 'February Gold'	zon              	droog fris                	DRIFT	Open plaatsen met frisse bodem (OP2B)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               Aromatisch   snijbloem	geel    	 25 cm  	    15 cm  	    15 cm  	  2- 3
1622884853-16784	3021	Persicaria ampl. JS® 'Betty Brandt'	zon   half schaduw             	fris vochtig                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bodembedekker  snijbloem  macho                                                                                            JS	roze    	 80 cm  	    60 cm  	    60 cm  	  7-11
1622881989-10618	3022	Leymus arenarius 'Blue Dune'	zon              	droog                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Open plaatsen met droge bodem (OP1)          extra informatie                                                                                                           New	grijs    	 90 cm  	    60 cm  	    60 cm  	  6- 8
1622880492-7618	3023	Heuchera 'Fire Chief' PBR	zon   half schaduw             	fris                	aantal  : 7 tot 10 per m2	Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2B)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend  snijbloem	wit    	 40 cm  	    20 cm  	    20 cm  	  6- 7
1622882560-11666	3024	Iris pseudacorus	zon              	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	moeraszone (O4)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Licht uitzaaiend         snijbloem	geel    	 90 cm  	    50 cm  	    50 cm  	  5- 6
1622883033-12551	3025	Euphorbia 'Copton Ash'	zon              	droog                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Rotstuin met droge bodem (A1)     Droge bodem met grind (GR1)     Ondiepe, droge bodem (OB1)     Open plaatsen met droge bodem (OP1)     Steppe (kalk) met droge bodem (SH1)          extra informatie               Aromatisch                                                                                               New	geel    	 35 cm  	    30 cm  	    30 cm  	  6- 8
1622881201-8959	3026	Kalimeris incisa 'Blue Star'	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	blauw    	 50 cm  	    40 cm  	    40 cm  	  6- 9
1622883472-13676	3027	Delphinium 'King Arthur' (Pacific-Giant-Group)	zon              	fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	violet    	180 cm  	   100 cm  	   100 cm  	  6- 9
1622884375-15764	3028	Penstemon 'Alice Hindley'	zon              	fris             afdekken    	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)          extra informatie               snijbloem  bijenplant	paars    	 60 cm  	    30 cm  	    30 cm  	  6- 8
1622882491-11515	3029	Lavatera 'Silver Barnsley'	zon              	droog fris             afdekken    	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bijenplant	wit    	150 cm  	   125 cm  	   125 cm  	  6-10
